Id,Predicted
441,375.2|397.3
442,257.6|548.4
443,349.9|431.8
444,452.6|223.8
445,458.9|354.8
446,578.2|282.9
447,427.9|239.2
448,253.0|269.2
449,244.4|593.1
450,594.8|267.6
451,392.0|322.7
452,581.9|250.1
453,467.1|399.9
454,352.5|442.8
455,476.8|218.2
456,530.0|513.7
457,379.4|299.9
458,452.3|473.4
459,404.8|484.3
460,369.1|284.5
461,353.0|448.4
462,524.2|427.0
463,227.2|415.4
464,457.3|553.4
465,438.2|240.5
466,357.9|508.9
467,379.3|581.0
468,263.7|411.9
469,231.5|359.5
470,207.1|519.4
471,207.7|580.8
472,211.3|514.3
473,545.4|244.6
474,276.9|510.3
475,467.5|284.5
476,438.5|533.8
477,564.9|408.1
478,448.6|354.8
479,476.4|458.9
480,204.3|251.9
481,593.8|303.2
482,234.4|534.8
483,419.9|209.9
484,286.8|583.6
485,386.2|447.1
486,456.6|447.3
487,258.3|551.1
488,202.0|470.4
489,437.1|489.5
490,485.0|222.8
491,589.3|427.1
492,590.2|354.0
493,206.3|473.6
494,593.9|549.1
495,302.5|327.5
496,488.7|226.0
497,443.8|579.0
498,269.4|517.3
499,207.8|460.2
500,357.1|222.5
501,518.9|504.4
502,348.8|222.2
503,384.7|283.9
504,371.2|209.9
505,245.5|577.4
506,359.9|220.4
507,403.7|208.5
508,391.6|210.0
509,422.5|211.7
510,256.6|464.1
511,399.7|247.9
512,422.7|462.2
513,410.3|569.6
514,424.9|241.4
515,303.6|435.6
516,360.4|255.8
517,594.3|342.9
518,470.6|365.4
519,508.8|512.3
520,442.4|501.3
521,272.8|569.9
522,293.3|384.7
523,226.2|487.3
524,352.9|394.4
525,543.0|514.9
526,573.5|348.4
527,266.4|573.5
528,469.3|470.9
529,428.8|571.9
530,241.4|211.7
531,468.8|404.7
532,553.7|527.0
533,219.1|477.3
534,470.4|528.5
535,236.4|465.4
536,391.5|576.1
537,295.5|351.8
538,464.6|330.7
539,452.9|539.1
540,363.9|384.2
541,495.7|490.2
542,276.2|285.3
543,545.3|235.4
544,482.8|476.8
545,403.2|275.6
546,438.8|380.5
547,264.0|243.2
548,215.0|468.5
549,401.6|333.9
550,260.4|290.7
551,233.9|409.2
552,483.8|355.3
553,232.2|311.6
554,574.2|416.8
555,469.7|345.7
556,400.8|335.4
557,223.0|587.5
558,345.7|517.2
559,362.8|337.9
560,519.8|451.9
561,300.5|342.4
562,331.2|328.4
563,405.5|457.3
564,578.6|260.9
565,582.6|417.4
566,363.7|255.9
567,529.1|413.8
568,468.5|292.2
569,307.8|365.2
570,594.6|392.9
571,240.3|577.4
572,477.3|252.1
573,596.0|511.0
574,263.6|421.2
575,400.8|512.5
576,266.4|369.0
577,463.8|558.0
578,458.4|346.4
579,572.0|210.1
580,410.2|387.9
581,231.5|377.0
582,559.5|263.3
583,444.7|553.5
584,580.4|547.5
585,550.3|233.3
586,386.7|298.3
587,296.9|556.5
588,583.2|376.0
589,285.0|292.9
590,586.9|401.4
591,403.3|489.4
592,502.0|243.1
593,314.6|383.4
594,472.8|215.1
595,353.7|559.5
596,413.3|364.4
597,364.8|283.4
598,251.1|560.3
599,574.7|449.2
600,222.9|591.4
601,358.9|594.0
602,377.8|384.5
603,440.1|310.2
604,254.3|384.3
605,394.3|327.5
606,285.4|442.9
607,209.0|576.1
608,427.1|218.8
609,487.4|461.2
610,264.9|290.9
611,383.9|223.3
612,496.5|240.8
613,434.4|536.6
614,487.7|325.6
615,452.8|393.3
616,464.3|324.1
617,252.3|364.1
618,470.6|572.8
619,349.8|440.3
620,203.7|469.7
621,373.6|391.3
622,246.7|265.9
623,283.9|536.6
624,206.9|336.5
625,416.5|403.8
626,266.2|368.9
627,449.5|586.4
628,562.3|459.8
629,594.4|586.1
630,235.3|298.3
631,471.2|528.8
632,262.7|338.7
633,367.6|276.9
634,296.6|432.5
635,253.5|261.8
636,544.5|251.0
637,341.8|524.2
638,365.1|446.5
639,496.5|495.0
640,413.6|400.8
641,546.0|422.2
642,357.5|277.4
643,205.3|540.5
644,575.9|286.2
645,451.5|449.6
646,294.6|349.0
647,346.7|211.7
648,333.9|230.5
649,566.7|412.4
650,539.7|586.1
651,378.7|369.0
652,387.2|491.4
653,537.5|444.2
654,548.3|239.4
655,386.6|268.3
656,230.1|457.8
657,294.7|572.4
658,553.5|595.5
659,448.1|306.7
660,590.1|371.4
661,441.1|375.8
662,578.5|418.7
663,397.0|207.2
664,232.6|391.8
665,407.1|247.1
666,524.9|362.6
667,247.1|495.9
668,379.6|588.5
669,571.2|210.6
670,240.0|436.4
671,405.1|464.7
672,344.6|238.8
673,414.9|265.9
674,593.6|479.7
675,239.3|556.4
676,432.5|249.7
677,262.1|428.2
678,213.9|296.7
679,221.6|358.2
680,266.6|292.5
681,553.2|526.2
682,591.5|212.8
683,410.5|570.0
684,254.2|281.1
685,232.2|457.8
686,579.0|316.1
687,276.4|231.1
688,557.2|577.6
689,557.0|543.6
690,407.9|289.2
691,291.3|557.4
692,376.0|371.7
693,335.6|568.9
694,239.1|296.1
695,528.6|528.4
696,391.1|211.8
697,486.4|337.0
698,328.1|415.1
699,394.5|464.7
700,362.5|368.8
701,453.3|363.9
702,387.6|578.5
703,264.3|279.3
704,392.0|510.6
705,305.5|406.2
706,459.0|558.0
707,280.0|319.0
708,248.8|512.1
709,585.1|542.7
710,233.7|361.9
711,263.2|433.2
712,335.6|561.5
713,329.0|332.5
714,545.9|329.7
715,406.3|327.7
716,348.1|330.8
717,528.1|303.6
718,518.9|424.2
719,530.0|543.6
720,409.4|543.5
721,269.4|480.2
722,467.7|529.0
723,465.3|217.6
724,451.3|533.4
725,363.3|584.2
726,226.4|415.7
727,350.9|235.3
728,554.7|472.0
729,456.8|464.2
730,286.2|590.7
731,419.1|314.4
732,402.1|213.1
733,341.0|347.7
734,403.3|508.0
735,476.6|517.7
736,493.9|241.0
737,549.8|583.5
738,343.4|322.6
739,241.3|443.6
740,336.8|368.4
741,417.4|422.3
742,429.2|292.8
743,337.4|324.7
744,573.4|367.8
745,404.8|210.8
746,219.5|360.9
747,263.8|571.2
748,256.2|406.9
749,583.2|211.1
750,264.3|424.9
751,534.9|341.9
752,262.5|566.5
753,372.8|394.2
754,244.4|299.4
755,218.8|332.2
756,384.7|586.2
757,355.6|442.8
758,336.8|237.4
759,590.6|268.5
760,445.5|304.7
761,282.4|416.9
762,399.8|327.0
763,207.9|540.7
764,270.1|230.4
765,305.4|324.7
766,472.8|544.7
767,249.9|434.4
768,550.1|546.9
769,255.7|440.1
770,400.8|313.6
771,496.2|459.0
772,562.3|212.8
773,306.5|326.3
774,343.3|522.5
775,408.7|265.8
776,204.7|312.9
777,254.4|281.1
778,380.9|572.9
779,302.4|426.1
780,390.0|554.5
781,345.8|529.3
782,471.6|267.6
783,231.2|345.9
784,220.7|379.7
785,209.4|438.2
786,394.0|594.7
787,260.7|582.7
788,528.9|333.3
789,464.2|465.1
790,451.7|443.2
791,290.8|518.4
792,462.0|574.0
793,274.4|287.9
794,352.5|578.3
795,379.4|288.2
796,380.3|281.1
797,287.1|381.4
798,287.4|311.6
799,286.9|282.9
800,377.4|477.9
801,387.7|221.8
802,437.8|430.0
803,588.9|442.2
804,281.8|341.8
805,594.1|473.6
806,522.9|444.6
807,438.7|335.1
808,543.4|247.8
809,276.0|367.2
810,290.1|490.2
811,391.1|250.3
812,450.1|363.6
813,239.2|213.6
814,241.9|580.2
815,345.6|593.2
816,242.1|555.4
817,213.9|464.1
818,425.1|369.8
819,524.6|428.4
820,352.0|273.0
821,572.0|520.4
822,373.1|516.6
823,214.9|528.3
824,240.4|583.5
825,302.5|331.6
826,243.7|290.8
827,231.9|279.4
828,405.5|565.1
829,448.4|471.7
830,225.5|243.9
831,237.7|364.2
832,519.0|437.4
833,451.1|239.6
834,364.7|290.8
835,379.2|422.4
836,526.8|356.7
837,459.3|589.2
838,473.3|222.5
839,571.7|356.3
840,382.3|250.7
841,334.7|554.0
842,404.2|386.1
843,478.7|306.7
844,338.1|236.0
845,276.7|331.1
846,401.2|249.0
847,349.0|331.8
848,211.7|591.8
849,362.4|253.1
850,277.5|582.6
851,268.7|548.4
852,587.5|423.1
853,472.9|412.2
854,408.0|457.3
855,594.2|352.1
856,545.0|265.2
857,337.6|419.6
858,585.0|479.5
859,582.2|209.5
860,239.9|560.6
861,479.2|489.1
862,231.3|225.4
863,439.9|512.7
864,509.2|490.6
865,257.7|504.6
866,354.3|322.3
867,337.6|565.6
868,209.4|280.7
869,453.4|378.8
870,204.7|584.7
871,225.7|419.8
872,302.1|315.4
873,403.6|304.8
874,575.2|292.9
875,216.9|588.8
876,369.4|286.1
877,214.8|351.7
878,542.3|372.9
879,463.9|559.9
880,457.8|448.0
881,374.5|482.0
882,328.1|333.5
883,422.8|340.8
884,464.6|341.3
885,400.8|577.4
886,395.3|322.7
887,428.4|589.6
888,237.4|445.3
889,541.3|575.1
890,259.0|279.6
891,537.5|346.0
892,377.8|482.7
893,386.1|284.5
894,315.5|364.4
895,285.7|355.3
896,485.3|480.3
897,562.9|427.0
898,461.9|511.2
899,544.7|517.5
900,240.7|391.1
901,539.3|502.0
902,209.9|492.9
903,382.1|458.9
904,267.6|312.3
905,436.0|296.2
906,348.1|594.8
907,481.4|350.1
908,306.6|375.5
909,318.6|321.4
910,257.5|263.8
911,475.5|346.6
912,244.4|376.9
913,372.5|576.7
914,469.0|373.0
915,474.9|219.3
916,421.0|553.7
917,358.4|216.4
918,521.9|432.5
919,379.3|251.0
920,539.2|592.9
921,484.1|514.0
922,572.2|210.3
923,588.8|210.5
924,349.1|564.0
925,337.6|553.2
926,505.0|510.8
927,381.5|266.0
928,374.8|279.4
929,552.4|264.8
930,371.2|582.2
931,585.0|401.0
932,232.4|333.6
933,207.3|510.0
934,344.6|252.4
935,408.8|441.9
936,305.8|333.0
937,469.3|349.3
938,579.3|551.3
939,549.1|524.0
940,562.9|507.7
941,410.3|350.5
942,217.3|411.5
943,299.2|365.1
944,442.7|414.9
945,469.8|513.4
946,239.8|422.4
947,480.5|510.8
948,283.1|594.9
949,596.2|589.3
950,564.1|286.2
951,232.9|225.7
952,240.3|435.9
953,308.2|404.8
954,473.9|265.5
955,540.8|589.8
956,485.9|320.1
957,578.8|522.4
958,480.7|276.7
959,467.0|220.4
960,394.3|522.5
961,556.5|355.6
962,211.4|498.4
963,237.0|579.8
964,385.4|269.1
965,224.7|315.1
966,400.7|470.3
967,437.8|305.3
968,372.8|222.4
969,213.4|414.9
970,417.2|528.2
971,458.4|233.2
972,221.9|553.2
973,342.5|426.5
974,590.0|399.4
975,353.4|465.2
976,579.6|549.3
977,537.1|370.3
978,331.9|206.6
979,466.4|310.8
980,249.7|571.4
981,286.6|452.0
982,289.8|403.3
983,457.8|315.0
984,419.8|268.3
985,251.2|585.3
986,235.0|560.0
987,541.4|488.2
988,277.4|232.4
989,473.7|347.4
990,570.1|270.4
991,396.2|561.7
992,398.4|397.9
993,271.2|316.5
994,346.4|237.6
995,529.5|556.8
996,250.0|413.3
997,402.1|260.0
998,354.5|387.7
999,528.5|490.2
1000,299.6|320.9
1001,535.4|281.7
1002,458.8|259.3
1003,525.7|352.7
1004,478.8|242.2
1005,388.6|584.0
1006,449.0|275.0
1007,262.0|279.3
1008,398.2|465.2
1009,472.8|455.2
1010,291.4|345.5
1011,473.2|243.3
1012,213.4|217.1
1013,557.0|548.5
1014,237.1|215.2
1015,471.1|412.4
1016,397.3|355.1
1017,583.6|350.4
1018,385.7|458.9
1019,407.1|328.0
1020,551.4|322.4
1021,581.2|295.2
1022,501.4|457.9
1023,562.2|518.1
1024,220.2|393.0
1025,436.1|390.0
1026,261.5|565.0
1027,416.1|208.7
1028,535.0|293.7
1029,566.6|519.6
1030,243.4|397.9
1031,575.3|455.7
1032,595.5|471.1
1033,412.3|219.0
1034,463.0|392.0
1035,399.7|213.8
1036,592.1|377.5
1037,388.6|377.2
1038,575.5|354.5
1039,595.1|368.4
1040,452.9|526.1
1041,220.4|470.1
1042,493.1|494.7
1043,376.8|339.5
1044,329.9|212.2
1045,207.8|279.1
1046,483.7|261.0
1047,251.5|374.2
1048,480.2|287.2
1049,469.8|500.9
1050,275.0|427.0
1051,475.9|309.5
1052,228.3|230.3
1053,558.6|570.0
1054,472.4|509.1
1055,365.3|237.9
1056,277.2|281.6
1057,569.5|371.9
1058,272.1|360.2
1059,458.5|436.9
1060,421.8|254.7
1061,592.0|302.3
1062,262.1|243.7
1063,337.3|419.0
1064,554.7|545.0
1065,438.5|470.7
1066,257.1|556.0
1067,374.6|420.1
1068,386.4|293.0
1069,426.3|466.3
1070,207.8|230.2
1071,376.7|557.3
1072,416.6|373.1
1073,591.6|553.1
1074,235.5|577.1
1075,545.3|540.7
1076,302.6|337.7
1077,402.6|558.1
1078,339.4|424.5
1079,374.3|384.9
1080,585.5|293.7
1081,266.0|227.1
1082,230.9|256.2
1083,518.9|461.2
1084,481.5|355.3
1085,546.9|286.5
1086,240.4|488.2
1087,389.4|246.9
1088,266.0|410.7
1089,367.1|588.1
1090,250.7|227.1
1091,420.6|550.1
1092,480.6|356.2
1093,574.4|233.1
1094,383.4|325.6
1095,213.7|304.4
1096,413.1|279.6
1097,441.2|511.9
1098,571.7|553.2
1099,557.6|363.3
1100,558.8|272.3
1101,227.4|326.0
1102,397.4|353.3
1103,250.7|472.9
1104,232.7|378.4
1105,383.7|402.0
1106,356.2|384.0
1107,574.3|368.8
1108,354.6|449.1
1109,590.5|508.3
1110,368.3|296.0
1111,231.8|289.8
1112,538.0|328.2
1113,561.8|566.3
1114,289.8|542.2
1115,390.0|556.7
1116,574.8|355.9
1117,343.0|507.2
1118,368.7|283.1
1119,445.4|395.8
1120,434.9|388.0
1121,255.7|285.2
1122,307.7|360.8
1123,383.2|399.6
1124,293.6|314.8
1125,300.2|363.7
1126,414.7|322.2
1127,539.0|547.3
1128,259.1|414.1
1129,584.6|339.8
1130,438.8|257.3
1131,410.1|421.9
1132,449.8|386.7
1133,206.2|573.1
1134,299.7|321.9
1135,397.8|567.6
1136,281.5|535.3
1137,429.8|384.5
1138,373.8|218.4
1139,335.4|566.8
1140,266.9|420.3
1141,404.0|326.5
1142,587.8|362.3
1143,221.4|398.1
1144,252.6|434.2
1145,467.2|326.8
1146,421.5|435.1
1147,349.8|319.6
1148,578.6|494.1
1149,409.6|504.6
1150,460.1|302.5
1151,285.6|373.4
1152,387.6|555.3
1153,384.0|274.1
1154,248.3|359.8
1155,293.6|385.4
1156,260.4|565.6
1157,266.7|345.7
1158,457.6|399.5
1159,406.0|504.8
1160,204.7|501.1
1161,255.1|565.8
1162,452.5|508.0
1163,447.0|363.0
1164,573.2|425.3
1165,223.3|303.6
1166,248.5|439.4
1167,467.1|392.7
1168,343.2|393.1
1169,573.7|437.3
1170,499.4|236.4
1171,293.2|447.6
1172,451.4|491.3
1173,392.4|291.8
1174,430.6|243.9
1175,594.5|275.3
1176,302.9|397.0
1177,419.3|273.0
1178,262.2|216.8
1179,363.0|279.2
1180,531.5|508.5
1181,218.0|481.9
1182,363.5|366.9
1183,476.1|355.3
1184,229.3|593.4
1185,205.4|248.8
1186,432.1|449.6
1187,447.2|386.0
1188,459.9|350.8
1189,400.4|402.3
1190,360.1|325.5
1191,411.3|276.9
1192,230.0|503.5
1193,406.3|369.1
1194,464.1|510.6
1195,355.1|580.4
1196,255.7|281.0
1197,548.6|521.5
1198,232.3|210.5
1199,573.8|563.6
1200,342.7|358.1
1201,386.7|469.4
1202,365.8|333.2
1203,234.8|311.3
1204,593.8|255.3
1205,419.6|491.1
1206,456.4|543.2
1207,554.3|210.6
1208,412.4|354.9
1209,591.6|305.4
1210,473.3|437.3
1211,529.5|333.5
1212,233.3|420.5
1213,438.8|412.8
1214,341.3|403.0
1215,232.0|291.9
1216,336.7|579.4
1217,542.9|463.8
1218,544.7|285.0
1219,436.4|531.1
1220,299.3|323.3
1221,337.1|586.5
1222,348.5|454.9
1223,259.6|275.4
1224,362.1|433.2
1225,273.1|374.7
1226,593.7|401.6
1227,205.3|329.6
1228,233.9|218.8
1229,221.0|408.5
1230,342.3|235.3
1231,550.7|541.5
1232,380.3|263.4
1233,451.7|391.3
1234,339.7|243.7
1235,233.7|464.1
1236,286.1|528.2
1237,387.8|583.8
1238,263.2|408.2
1239,521.2|464.9
1240,361.8|277.1
1241,529.1|508.6
1242,369.3|401.9
1243,294.4|530.4
1244,363.7|234.2
1245,236.8|498.2
1246,212.8|470.5
1247,457.5|229.8
1248,356.1|589.9
1249,527.8|577.2
1250,397.5|447.9
1251,426.2|300.1
1252,433.3|397.7
1253,268.1|483.7
1254,473.3|340.7
1255,279.8|579.7
1256,589.9|510.9
1257,358.5|595.6
1258,486.0|242.4
1259,357.6|445.0
1260,335.7|336.4
1261,357.7|588.0
1262,454.1|460.9
1263,288.6|280.5
1264,335.4|555.9
1265,230.2|498.4
1266,254.9|369.8
1267,287.6|502.4
1268,268.9|220.2
1269,269.9|493.2
1270,271.8|549.4
1271,580.1|541.1
1272,593.9|353.1
1273,336.5|237.0
1274,583.2|216.9
1275,433.3|398.9
1276,498.4|246.5
1277,402.1|515.1
1278,463.4|577.6
1279,266.0|315.6
1280,256.6|383.6
1281,568.4|537.4
1282,365.4|275.7
1283,221.7|593.5
1284,382.9|286.9
1285,240.7|485.8
1286,542.0|277.0
1287,397.2|473.5
1288,289.7|376.3
1289,381.7|295.5
1290,558.7|469.9
1291,222.7|306.1
1292,586.8|587.4
1293,258.0|274.9
1294,542.1|244.6
1295,528.4|300.7
1296,358.0|377.0
1297,588.0|581.5
1298,371.5|575.4
1299,378.3|311.9
1300,250.1|212.6
1301,586.3|409.3
1302,535.3|548.2
1303,491.8|327.0
1304,532.3|454.8
1305,568.9|416.4
1306,427.6|337.6
1307,264.9|365.0
1308,411.3|378.5
1309,405.7|337.1
1310,580.2|207.5
1311,348.4|257.1
1312,421.5|500.5
1313,357.3|399.4
1314,361.1|377.2
1315,538.4|464.0
1316,589.1|417.2
1317,466.0|214.2
1318,481.8|362.1
1319,556.6|262.0
1320,341.1|344.9
1321,463.9|248.7
1322,423.7|214.2
1323,453.3|452.9
1324,573.7|272.9
1325,315.1|350.5
1326,245.9|505.9
1327,345.9|406.8
1328,309.4|402.7
1329,265.7|305.0
1330,244.7|462.5
1331,555.8|237.2
1332,412.1|365.8
1333,521.2|433.3
1334,397.1|255.0
1335,376.4|214.8
1336,363.2|439.1
1337,573.5|419.0
1338,346.2|226.1
1339,315.7|362.9
1340,588.3|258.4
1341,475.7|377.5
1342,353.0|590.0
1343,219.6|542.0
1344,456.8|397.0
1345,589.1|387.5
1346,472.3|482.4
1347,486.8|506.3
1348,300.1|367.2
1349,262.6|404.2
1350,347.8|313.1
1351,426.7|345.2
1352,540.9|457.4
1353,417.3|361.1
1354,446.3|476.3
1355,286.8|586.6
1356,262.3|345.7
1357,467.7|421.5
1358,448.4|529.0
1359,411.7|378.0
1360,279.0|289.3
1361,250.5|510.5
